rule_id,base_score,tier,reasoning
np.amplitude.1,40,low,"Amplitude API Key is an analytics ingestion key used to send event data; limited to analytics write access with no admin capabilities."
kingfisher.datadog.1,15,info,"Datadog Site Domain is a tenant identifier — not a credential; just configuration metadata."
kingfisher.datadog.2,50,medium,"Datadog API Key allows sending metrics/logs/traces and some read operations; not full admin but broader than ingestion-only."
kingfisher.datadog.3,65,high,"Datadog Application Key grants admin-level access to the Datadog API including account management and sensitive data queries."
kingfisher.datadog.4,25,low,"Datadog RUM Client Token is a public-facing instrumentation token for browser/mobile SDK; intentionally embeddable in client code."
np.dtrack.1,50,medium,"Dependency-Track API Key enables SBOM and vulnerability management operations; medium risk — read/write to vulnerability tracking data."
np.dynatrace.1,60,medium,"Dynatrace Token has variable scope depending on assigned permissions; defaults to medium-high as it often grants monitoring and configuration access."
np.grafana.1,65,high,"Grafana API Token grants full API access to dashboards, data sources, and configuration — equivalent to admin access in many deployments."
np.grafana.2,65,high,"Grafana Cloud API Token grants administrative access to Grafana Cloud stacks including provisioning and data source management."
np.grafana.3,65,high,"Grafana Service Account Token provides programmatic API access equivalent to the service account role — often admin or editor level."
kingfisher.honeycomb.1,50,medium,"Honeycomb API Key is used for both ingestion and querying; medium risk as it can read observability data."
np.newrelic.1,35,low,"New Relic License Key is used exclusively for telemetry ingestion; no read or admin capabilities."
np.newrelic.2,35,low,"New Relic License Key (alternate format) — telemetry ingest only with no read or admin access."
np.newrelic.3,50,medium,"New Relic API Service Key enables API access for service integrations; broader than license key but below full admin scope."
np.newrelic.4,70,high,"New Relic Admin API Key provides full administrative access including account management, user management, and all API operations."
np.newrelic.5,30,low,"New Relic Insights Insert Key is write-only for custom event ingestion; cannot query or read any data from New Relic."
np.newrelic.6,32,low,"New Relic Insights Query Key provides read-only access to query custom events; no write or admin capabilities."
np.newrelic.7,55,medium,"New Relic REST API Key grants access to REST API v2 for metrics and configuration; broader than license/insights keys."
np.newrelic.8,55,medium,"New Relic Pixie API Key provides access to Pixie live debugging platform (k8s observability); can query live cluster data."
np.newrelic.9,58,medium,"New Relic Pixie Deploy Key used to deploy/configure Pixie agents on Kubernetes clusters; elevated risk due to cluster deployment capability."
kingfisher.posthog.1,40,low,"PostHog Project API Key is primarily an ingestion/capture key for sending analytics events; limited read access to project data."
kingfisher.posthog.2,55,medium,"PostHog Personal API Key provides admin-level access to the PostHog API for account management and data querying."
np.segment.1,55,medium,"Segment Public API Token provides workspace-level access including source/destination management; elevated for workspace administration."
kingfisher.sentry.1,65,high,"Sentry Access Token grants OAuth-scoped API access which can include full read/write to projects, issues, and organization data."
kingfisher.sentry.2,65,high,"Sentry Organization Token provides organization-scoped API access with broad permissions over projects, members, and settings."
kingfisher.sentry.3,65,high,"Sentry User Token grants API access acting as the user; scope varies but can include sensitive project and error data access."
kingfisher.sentry.4,25,low,"Sentry DSN is a publishable ingest URL intentionally embedded in client applications to report errors; not a secret credential."
np.wakatime.1,30,low,"WakaTime API Key provides access to personal coding activity/time tracking data; limited to individual user telemetry."
np.wakatime.2,30,low,"WakaTime Prefixed API Key — same as np.wakatime.1 with a waka_ prefix format; personal time tracking access only."
