rule_id,base_score,tier,reasoning
kingfisher.credentials.1,55,medium,"HTTP URL with user:pass embedded; min_entropy 3.0 medium confidence; unknown service target."
kingfisher.curl.1,55,medium,"curl -u flag leaks creds in shell history; low YAML confidence; unknown target service."
kingfisher.curl.2,55,medium,"curl Authorization header; opaque token, no system context, low YAML confidence."
kingfisher.filezilla.1,70,high,"FileZilla base64-encoded stored password; trivially decoded FTP/SFTP credential."
kingfisher.filezilla.2,70,high,"FileZilla plaintext stored password; directly readable remote-access credential."
np.generic.1,50,medium,"Generic 32-64 char secret value; YAML explicitly notes bad precision/recall."
np.generic.2,50,medium,"Generic API key (api_key/access_key variable); no vendor signal."
np.generic.3,50,medium,"Quoted user+password pair assignment; two-field pattern adds strength."
np.generic.4,50,medium,"Unquoted user+password pair (config-file style); same strength as .3."
np.generic.5,50,medium,"Double-quoted password= assignment; single-field, many negatives filtered."
np.generic.6,50,medium,"Single-quoted password= assignment; variant of .5."
np.generic.7,85,critical,".NET NetworkCredential hardcoded user+pass; NTLM/Kerberos/Basic auth to network resources."
np.generic.8,85,critical,".NET DirectoryEntry hardcoded LDAP path+user+pass; Active Directory access per YAML."
np.generic.9,55,medium,".NET appsettings key with pass/secret/token/admin value; fuzzy, no DB specificity."
np.generic.10,85,critical,".NET ConnectionString config; YAML: may allow attacker direct database access."
np.generic.11,45,medium,"'the password is ...' natural-language phrase; documentation-style, lower specificity."
np.generic.12,45,medium,"Variant of .11 with double-quoted value; same documentation-style reasoning."
np.generic.13,45,medium,"'password for user ... is ...' phrase; doc-style despite username context."
np.generic.14,45,medium,"Variant of .13 with double-quoted values; same reasoning."
np.generic.15,50,medium,"if-statement password comparison (double-quoted); hardcoded app-level credential."
np.generic.16,50,medium,"if-statement password comparison (single-quoted); variant of .15."
np.http.1,55,medium,"HTTP Basic Authorization header (base64 user:pass); broad scope, any service."
np.http.2,55,medium,"HTTP Bearer token; opaque, no system specificity."
np.jwt.1,55,medium,"Full JWT token (header.payload.sig); issued token may be expired, not the signing key."
np.jwt.2,75,high,"JWT signing secret (double-quoted YAML); compromising this forges arbitrary tokens."
np.jwt.3,75,high,"JWT signing secret (single-quoted YAML); variant of .2, same high-severity rationale."
np.netrc.1,70,high,"netrc machine+login+password; classic Unix credential file for curl/git/ftp."
np.phpmailer.1,60,medium,"PHPMailer SMTP host+user+pass triple; email creds meaningful but not infra-level."
np.psexec.1,85,critical,"PsExec -u/-p invocation; domain admin credentials enabling Windows lateral movement."
np.reactapp.1,50,medium,"REACT_APP username baked into client bundle; identifier category per YAML."
np.reactapp.2,50,medium,"REACT_APP password baked into client bundle; client-visible credential, unknown scope."
kingfisher.uri.1,55,medium,"RFC-compliant URI with user:secret@host; higher entropy threshold (4.0) than credentials.1."
