rule_id,base_score,tier,reasoning
kingfisher.asana.1,15,info,"Asana Client ID is a public OAuth identifier — not a secret; no access granted on its own."
kingfisher.asana.2,60,medium,"Asana Client Secret enables OAuth token exchange; exposure allows app impersonation but requires redirect URI pairing."
kingfisher.asana.3,62,medium,"Asana OAuth/Personal Access Token grants read/write to user's tasks and projects; typical SaaS user-level API key."
np.calendly.1,45,medium,"Calendly Personal Access Token provides read/write to scheduling data; limited blast radius — no payment or infra access."
kingfisher.discord.1,40,medium,"Discord Webhook URL allows write to a specific channel only; no read access or account takeover possible."
kingfisher.discord.2,65,high,"Discord Bot Token grants full bot permissions (messages, member data, server management) per granted scopes."
kingfisher.discord.3,10,info,"Discord Bot ID is a public numeric identifier — not a credential; no access granted."
kingfisher.jira.1,10,info,"Jira Domain (e.g., company.atlassian.net) is a public URL identifier — not a secret."
kingfisher.jira.2,62,medium,"Jira API Token grants user-level access to issues, projects, and boards; equivalent to a SaaS user credential."
kingfisher.lark.1,65,high,"LarkSuite Tenant Access Token provides org-wide API access; can enumerate users, messages, and files across the tenant."
kingfisher.lark.2,62,medium,"LarkSuite User Access Token acts on behalf of a specific user; read/write to that user's messages and data."
kingfisher.lark.3,58,medium,"LarkSuite App Access Token scoped to app permissions; functional but limited to granted app scopes."
kingfisher.line.1,55,medium,"Line Messaging API Token enables send/receive messages via a bot channel; moderate impact, limited to bot scope."
kingfisher.linear.1,62,medium,"Linear API Key grants read/write to issues, projects, and team data; typical project management SaaS token."
kingfisher.mattermost.1,10,info,"Mattermost URL is a server address — a public endpoint identifier, not a credential."
kingfisher.mattermost.2,70,high,"Mattermost Access Token provides broad API access to channels, messages, and user data; equivalent to Slack bot token."
kingfisher.mattermost.3,45,medium,"Mattermost Incoming Webhook URL allows write to a specific channel only; no read or account access."
np.mattermost.1,70,high,"Mattermost Personal Access Token acts as a full user credential; read/write across all accessible channels and data."
kingfisher.messagebird.1,65,high,"MessageBird API Token is a server-side key enabling SMS/voice send and account management; high abuse potential for phishing/spam."
np.msteams.1,45,medium,"Microsoft Teams Webhook allows posting to a specific channel; write-only to one endpoint, no read or broader M365 access."
kingfisher.microsoftteamswebhook.1,45,medium,"Microsoft Teams Webhook (different file) — same semantics as np.msteams.1; write to one channel only."
kingfisher.monday.1,60,medium,"Monday.com API Key grants read/write to boards, items, and automation; typical project management SaaS key."
kingfisher.notion.1,55,medium,"Notion Legacy Token (internal integration token) grants access to shared pages/databases; legacy format, moderate scope."
kingfisher.notion.2,58,medium,"Notion Token (integration token) grants read/write to explicitly shared workspace content; limited by sharing scope."
kingfisher.notion.3,62,medium,"Notion OAuth Refresh Token can generate new access tokens indefinitely; persistent access risk slightly higher than regular token."
kingfisher.sendbird.1,15,info,"Sendbird Application ID is a public identifier used in client SDKs — not a secret; no server-side access."
kingfisher.sendbird.2,65,high,"Sendbird API Token is a server-side master key; grants full access to users, channels, and messages across the app."
np.slack.2,70,high,"Slack Bot Token (xoxb-) grants API access scoped to bot permissions; can read channels, post messages, access user data."
np.slack.4,75,high,"Slack User Token (xoxp-) acts as a real user; broader permissions than bot token including DMs and user-level actions."
np.slack.5,55,medium,"Slack App Token (xapp-) used for Socket Mode connections; scoped to app-level socket access, not full workspace data."
np.slack.6,65,high,"Slack Legacy Bot Token older format with broad implicit permissions; no granular OAuth scopes, higher risk than modern bot tokens."
np.slack.7,45,medium,"Slack Workflow Webhook triggers a specific workflow step; scoped write action only, limited blast radius."
np.slack.8,45,medium,"Slack Trigger URL invokes a specific Slack workflow trigger; write-only to defined workflow, no read access."
np.slack.3,45,medium,"Slack Webhook URL posts to a specific channel; write-only, no read or broader workspace access."
np.telegram.1,55,medium,"Telegram Bot Token grants full control of a bot account; can read messages in groups the bot is added to and send messages."
