rule_id,base_score,tier,reasoning
np.age.1,5,info,"Age Recipient is an X25519 public key — no secret material, cannot decrypt data. YAML categorizes as identifier not secret."
np.age.2,85,critical,"Age Identity (X25519 secret key). Possessing it decrypts all ciphertext encrypted to the corresponding recipient."
kingfisher.coinbase.1,85,critical,"Coinbase Access Token bearer token validated against api.coinbase.com/v2/user; likely grants trading permissions — full account takeover."
kingfisher.coinbase.2,90,critical,"Coinbase CDP API Key (ECDSA): captures org key name + raw EC private key PEM. Can sign all CDP transactions."
kingfisher.coinbase.3,90,critical,"Coinbase CDP API Key (Ed25519): captures key UUID + raw 64-byte Ed25519 private key. Same full-signing impact as ECDSA variant."
np.pwhash.1,50,medium,"MD5crypt ($1$). MD5 cracks at billions/sec on GPU; high recovery probability depending on password strength."
np.pwhash.2,35,low,"bcrypt ($2a/b/x/y$). Designed to be slow; cost factor makes cracking expensive. Short/common passwords still at risk."
np.pwhash.3,40,low,"SHA256crypt ($5$). Stronger than md5crypt with configurable rounds; standard in Linux shadow. Moderate cracking resistance."
np.pwhash.4,40,low,"SHA512crypt ($6$). Better digest than sha256crypt; common in modern Linux shadow files. Moderate resistance."
np.pwhash.5,45,medium,"Cisco IOS PBKDF2-SHA256 ($8$). Strong KDF but success yields network device admin — elevated impact context."
kingfisher.1password.1,90,critical,"1Password Service-Account Token (ops_eyJ...) unlocks all vaults accessible to the service account — master key for stored credentials."
kingfisher.1password.2,75,high,"1Password Account Secret Key. One of two auth factors; alone insufficient, but combined with weak/reused master password enables full takeover."
np.pem.1,92,critical,"Generic PEM private key (RSA/DSA/OPENSSH/EC). Full unencrypted private key — identity impersonation, TLS decryption, anything the cert trusts."
np.pem.2,90,critical,"Base64-double-encoded PEM private key (Kubernetes-style). Decodes to identical impact as np.pem.1; extra encoding layer is not a security control."
kingfisher.privkey.1,80,critical,"Encrypted RSA private key (Proc-Type: 4,ENCRYPTED). Passphrase provides partial protection; weak/nearby passphrases likely. Low-end critical."
kingfisher.privkey.2,90,critical,"Broad PEM private key (RSA/PGP/DSA/OPENSSH/ENCRYPTED/EC). Unencrypted key material for all major types; full signing/decryption capability."
np.wireguard.1,90,critical,"WireGuard PrivateKey. Enables full peer impersonation on VPN; decrypt all tunneled traffic, access entire private network segment."
np.wireguard.2,75,high,"WireGuard PresharedKey. Weakens quantum-resistance layer but does not alone break the tunnel — peer private key still required for handshake."
