rule_id,base_score,tier,reasoning
kingfisher.clickhouse.1,85,critical,"ClickHouse Cloud secret key grants direct database access to all data the credential can reach."
kingfisher.clickhouse.2,15,info,"ClickHouse Cloud key ID is an identifier only; no access possible without the paired secret key."
np.databricks.1,90,critical,"Databricks PAT grants workspace-wide access and can spin up compute clusters incurring significant cost."
kingfisher.jdbc.1,85,critical,"JDBC connection string with embedded credentials provides raw database access for any data the DB user can reach."
np.mongodb.1,85,critical,"MongoDB connection string with credentials grants direct database access to all collections the user can reach."
kingfisher.mongodb.1,85,critical,"MongoDB API private key grants significant API-level access to Atlas resources."
kingfisher.mongodb.2,15,info,"MongoDB API public key is an identifier only; requires the paired private key to authenticate."
kingfisher.mongodb.3,85,critical,"MongoDB URI connection string with credentials provides direct database access."
kingfisher.mongodb.4,95,critical,"MongoDB Atlas service account token with admin privileges grants full Atlas account control."
kingfisher.mysql.1,85,critical,"MySQL URI with embedded credentials grants direct database access to all data the DB user can reach."
np.odbc.1,85,critical,"ODBC connection string with credentials provides raw database access equivalent to a direct connection string."
kingfisher.planetscale.1,85,critical,"PlanetScale API token grants management-level control over databases and branches."
kingfisher.planetscale.2,15,info,"PlanetScale username is an identifier only; no access possible without paired credential."
np.postgres.1,85,critical,"PostgreSQL connection URI with embedded credentials grants direct database access."
kingfisher.rabbitmq.1,75,high,"RabbitMQ credential grants access to the message broker; can read/write queues and intercept or inject messages."
kingfisher.supabase.1,90,critical,"Supabase management token grants full account-level control including project management and all data."
kingfisher.supabase.2,70,high,"Supabase project API key grants per-project data access; significant but scoped to one project."
kingfisher.supabase.3,15,info,"Supabase project URL is a public endpoint identifier; no credentials embedded."
