rule_id,base_score,tier,reasoning
np.adafruit.1,55,medium,"Adafruit IO key grants access to IoT dashboard feeds and data; limited to cloud data plane with no direct device firmware control."
np.adobe.1,70,high,"Adobe OAuth client secret enables impersonation of OAuth application across Creative Cloud and Experience Platform APIs."
kingfisher.aiven.1,85,critical,"Aiven API key provides admin-level control over managed cloud databases (PostgreSQL/Kafka/etc.); full infrastructure compromise potential."
np.blynk.1,60,high,"Blynk device access token controls a single IoT device (GPIO/functions); physical-world impact limited to one device scope."
np.blynk.2,75,high,"Blynk organization access token grants fleet-wide device control across all devices in an org; elevated physical-world impact."
np.blynk.3,75,high,"Blynk organization access token (alternate detection pattern); same fleet-wide device control scope."
np.blynk.8,85,critical,"Blynk organization client credentials (client_id+secret) enable full OAuth token minting for entire org fleet."
np.blynk.9,85,critical,"Blynk organization client credentials (alternate detection pattern); same full org OAuth scope."
np.particleio.1,75,high,"Particle.io access token can flash firmware and call device functions on cloud-connected hardware; direct physical-world impact."
np.particleio.2,75,high,"Particle.io access token (alternate detection pattern); same firmware-flash and device-function control scope."
kingfisher.riot.1,15,info,"Riot platform host is a configuration identifier/hostname with no credential value."
kingfisher.riot.2,35,low,"Riot Games API key provides read access to game data and match history; rate-limited public-facing API."
np.thingsboard.1,70,high,"ThingsBoard access token authenticates a device or user to the IoT platform; enables telemetry read/write and device command execution."
np.thingsboard.2,75,high,"ThingsBoard provision device key allows registration of new devices into the platform; enables rogue device enrollment."
np.thingsboard.3,75,high,"ThingsBoard provision device secret pairs with provision key to authenticate device provisioning; same rogue-device registration risk."
np.truenas.1,85,critical,"TrueNAS WebSocket API key provides full NAS administrative control (storage pools/shares/plugins/VMs); critical data and infrastructure impact."
np.truenas.2,85,critical,"TrueNAS REST API key provides full NAS administrative control equivalent to WebSocket; complete storage system compromise."
np.truenas.3,55,medium,"TrueNAS keyword-proximity detection is lower-confidence (may match config comments near key material); reduced certainty warrants medium."
