rule_id,base_score,tier,reasoning
np.atlassian.1,65,high,"Atlassian Cloud API token grants broad access to Jira/Confluence/Trello workspaces; tied to user identity with org-level read/write across projects and potentially admin APIs."
np.bitbucket.1,65,high,"Bitbucket app password substitutes full account credentials for API and Git operations; scope includes repo read/write and may include admin and pipeline access."
np.gitalk.1,48,medium,"Gitalk OAuth client_id+client_secret pair enables GitHub OAuth impersonation for comment auth; client_secret elevates from mere identifier but scope is limited to issue commenting workflows."
np.github.1,75,high,"Classic GitHub PAT (ghp_ prefix) typically carries broad repo-write scopes plus read:org and other grants chosen at creation; no fine-grained restriction enforced by design."
np.github.2,70,high,"GitHub OAuth access token (gho_ prefix) is user-scoped to the authorizing account's granted scopes; can include repo-write and admin:org depending on app's requested permissions."
np.github.3,85,critical,"GitHub App installation token (ghu_/ghs_ prefix) can hold org-admin or all-repos write if App was installed with broad permissions; server-to-server tokens are machine-level and hard to trace."
np.github.4,50,medium,"GitHub refresh token (ghr_ prefix) cannot directly authenticate API calls; must be exchanged for an access token requiring the client_secret as well — reduces standalone exploitability."
np.github.5,15,info,"GitHub OAuth Client ID is a public identifier intentionally exposed in browser-visible OAuth flows; alone it grants no access and poses no direct secret exposure risk."
np.github.6,85,critical,"GitHub App client secret authenticates the App itself; combined with Client ID enables token minting, OAuth code exchange, and webhook validation — full App-level compromise."
np.github.7,65,high,"Fine-grained GitHub PAT (github_pat_ prefix) is narrowly scoped by design to selected repos and specific permissions; lower blast radius than classic PAT but still source-control write access."
np.gitlab.1,70,high,"GitLab runner registration token allows registering a new CI runner to a project or group; attacker gains code execution in all future pipelines and access to CI secrets and artifacts."
np.gitlab.2,72,high,"GitLab Personal Access Token with api scope grants full REST API access including repo read/write, user impersonation possibilities, and group membership management."
np.gitlab.3,65,high,"GitLab pipeline trigger token initiates arbitrary pipeline runs on a project; enables code execution in CI environment, exfiltration of CI variables, and supply chain interference."
np.gitlab.4,68,high,"GitLab Routable PAT routes to a specific self-managed/Dedicated instance; carries same repo and API risks as a standard GitLab PAT."
kingfisher.gitter.1,45,medium,"Gitter access token authenticates to the Gitter/Matrix chat API; grants read/write to chat rooms for that user but limited to messaging — no source code or admin access."
