rule_id,base_score,tier,reasoning
kingfisher.hubspot.1,75,high,"HubSpot Private App Token grants access to CRM contacts, marketing data, and deal pipelines — contains customer PII and business intelligence."
kingfisher.jotform.1,65,high,"JotForm API key exposes form submission data which frequently contains PII (names, emails, addresses, health info)."
np.salesforce.1,85,critical,"Salesforce Access Token provides access to full CRM including customer PII, financial records, opportunities, and business-critical data at scale."
np.shopify.1,10,info,"Shopify domain/store identifier only — reveals shop URL but grants no API access or sensitive data exposure."
np.shopify.2,85,critical,"Shopify App Secret can be used to mint OAuth tokens with shop-wide access including orders, customer PII, and payment processing capabilities."
np.shopify.3,70,high,"Shopify Public App Access Token grants shop-scoped API access to orders, customer data, and inventory depending on OAuth scopes."
np.shopify.4,75,high,"Shopify Custom App Access Token has shop-wide access to orders, customers, products, and potentially payment/refund operations."
np.shopify.5,75,high,"Shopify Legacy Private App Access Token provides full shop API access including customer PII, orders, and financial operations."
kingfisher.typeform.1,65,high,"Typeform API Token exposes form responses which routinely contain PII; also allows creating/modifying forms used for data collection."
kingfisher.zohocrm.1,70,high,"Zoho CRM API Access Token grants access to customer records, sales pipeline, contacts, and business PII across the CRM."
kingfisher.zuplo.1,60,medium,"Zuplo API gateway key controls API routing and rate limiting; impact depends on configured backend but represents significant infrastructure access."
