rule_id,base_score,tier,reasoning
kingfisher.beamer.1,50,medium,"Changelog/feedback tool; can post announcements but no direct email/SMS send."
kingfisher.customerio.1,60,medium,"Customer.io Tracking API triggers automated email/SMS campaigns."
kingfisher.customerio.2,62,medium,"Customer.io App API Key — broader access: manages campaigns, segments, triggers sends."
np.delighted.1,45,medium,"NPS/survey tool; limited to sending survey invites and reading responses."
kingfisher.eventbrite.1,65,high,"Create/manage events and ticket sales; fraudulent ticket creation, attendee PII exposure."
kingfisher.freshdesk.1,35,low,"Freshdesk Domain identifier only (company.freshdesk.com), not an auth credential."
kingfisher.freshdesk.2,65,high,"Full access to all support tickets, conversations, customer PII."
np.helpscout.1,65,high,"Help Scout OAuth Client Secret enables full mailbox impersonation; all customer support conversations exposed."
kingfisher.intercom.1,55,medium,"Access to contact data and can send in-app/email messages. PII risk and spam vector."
np.iterable.1,60,medium,"Full marketing automation: email, push, SMS sends to user lists."
kingfisher.klaviyo.1,60,medium,"Email/SMS marketing lists and sends; subscriber PII access."
np.mailchimp.1,55,medium,"Bulk email to mailing lists; slightly lower than transactional email due to marketing focus."
np.mailgun.1,65,high,"Full transactional email send from authorized domains; phishing/spam at scale."
kingfisher.mailjet.1,65,high,"SMS API Key; direct per-message cost, SMS phishing and 2FA spoofing."
kingfisher.mailjet.2,65,high,"Basic Auth: full platform access including email and SMS send capability."
kingfisher.mandrill.1,65,high,"Transactional email through verified domains; highly credible phishing vector."
kingfisher.opsgenie.1,58,medium,"Can page on-call, suppress/fabricate incidents, cause alert fatigue."
kingfisher.pagerduty.1,58,medium,"Trigger incidents, page engineers, manage schedules. Disrupt incident response."
np.pendo.1,50,medium,"Product analytics + in-app guide management; can view session data and modify in-app messages."
np.postmark.1,65,high,"Transactional email send from authorized domains; phishing/spam capability."
kingfisher.resend.api_key.1,65,high,"Transactional email send; can send arbitrary email from authorized domains."
np.sendgrid.1,65,high,"SG.xxx key; full email send at scale from authorized domains; phishing/spam/brand abuse."
kingfisher.sendinblue.1,60,medium,"Email + SMS marketing/transactional sends; mass campaign capability."
kingfisher.statuspage.1,55,medium,"Can publish false incident/maintenance status updates misleading customers."
np.twilio.1,75,high,"Full SMS/voice API; direct monetary cost per send; phishing and 2FA spoofing at scale."
np.zendesk.1,68,high,"All support tickets and customer conversations; PII exposure and full read/write on support interactions."
