rule_id,base_score,tier,reasoning
kingfisher.ai21studio.1,50,medium,"AI21 Studio API key; quota-limited LLM provider with moderate billing exposure."
np.anthropic.1,70,high,"Anthropic API key (sk-ant-api prefix); Claude Opus usage is expensive and a leaked key enables significant cost accrual; major LLM provider."
kingfisher.baseten.1,55,medium,"Baseten API key; model deployment/inference platform with billing exposure."
kingfisher.cerebras.1,55,medium,"Cerebras AI API key; fast inference hardware provider; billing risk exists but smaller customer base."
kingfisher.cohere.1,60,medium,"Cohere API key; established NLP/LLM provider with enterprise usage; quota-based billing means compromise can drive meaningful costs."
kingfisher.deepseek.1,55,medium,"DeepSeek API key; growing LLM provider with pay-per-token billing; moderate cost exposure."
kingfisher.fireworks.1,55,medium,"Fireworks.ai API key; fast inference API for open models; pay-per-token billing."
kingfisher.friendli.1,55,medium,"Friendli.ai API key; LLM inference provider with per-token billing; moderate financial exposure."
np.groq.1,50,medium,"Groq API key; ultra-fast inference but currently generous free tier and rate limits reduce worst-case billing exposure."
np.huggingface.1,60,medium,"HuggingFace User Access Token; can access and pull private models and datasets; enables IP theft of proprietary models."
kingfisher.mistral.1,60,medium,"Mistral AI API key; European LLM provider with pay-per-token commercial API."
kingfisher.ollama.1,50,medium,"Ollama hosted API key; primarily local/self-hosted tool but hosted service keys carry moderate billing risk."
np.openai.1,70,high,"OpenAI API key; GPT-4/o1 usage is expensive with high per-token costs; one of the highest financial exposure AI keys; widely targeted."
kingfisher.openrouter.1,65,high,"OpenRouter API key; proxies to many LLMs including expensive frontier models; aggregated billing across providers makes cost exposure significant."
kingfisher.perplexity.1,58,medium,"Perplexity AI API key; search-augmented LLM with per-request billing."
kingfisher.replicate.1,65,high,"Replicate API token; runs diverse ML models on-demand with per-second GPU billing; high cost exposure."
kingfisher.runway.1,65,high,"Runway API key; video generation AI is computationally expensive with high per-second billing."
kingfisher.stabilityai.1,60,medium,"Stability AI API key; image generation with per-image billing; moderate-high cost exposure."
kingfisher.together.1,55,medium,"Together.ai API key; open-source model inference with per-token billing; moderate cost exposure."
kingfisher.vastai.1,70,high,"Vast.ai API key; GPU compute rental marketplace; direct money loss on compromise as attacker can spin up expensive GPU instances."
kingfisher.xai.1,65,high,"xAI (Grok) API key; Grok model inference with per-token billing; high-profile provider."
kingfisher.zhipu.1,50,medium,"Zhipu (BigModel) API key; Chinese LLM provider with pay-per-token API."
