rule_id,base_score,tier,reasoning
np.auth0.1,85,critical,"Auth0 Application Credentials (domain+client_id+client_secret) grant full control over an SSO tenant including user management and OAuth configuration."
kingfisher.authress.1,70,high,"Authress Service Client Access Key enables programmatic access to Authress authorization APIs for managing access controls."
kingfisher.cloudflare.1,82,critical,"Cloudflare API Token can control DNS/WAF/CDN/Workers for all zones; misconfigured DNS or firewall rules can redirect traffic or disable protections."
kingfisher.cloudflare.2,75,high,"Cloudflare Origin CA Key is used to issue TLS certificates for origin servers; exposure allows issuance of fraudulent origin certificates."
kingfisher.definednetworking.1,60,medium,"Defined Networking API Token controls network overlay configuration; access can expose network topology and allow routing changes."
np.doppler.1,70,high,"Doppler CLI Token provides developer-level access to secrets and configs via CLI; broad read access to environment secrets."
np.doppler.2,70,high,"Doppler Personal Token tied to a user account grants access to all projects and environments that user can access."
np.doppler.3,75,high,"Doppler Service Token grants automated read access to a specific config environment; exposure leaks all secrets in that environment."
np.doppler.4,85,critical,"Doppler Service Account Token is a machine identity with configurable cross-project access; equivalent to admin-tier secrets access."
np.doppler.5,75,high,"Doppler SCIM Token enables identity provisioning operations (create/update/delete users and groups); unauthorized user management in IdP."
np.doppler.6,55,medium,"Doppler Audit Token grants read-only access to audit logs; exposes operational activity but cannot modify secrets or configurations."
kingfisher.harness.pat.1,70,high,"Harness Personal Access Token provides access to CI/CD pipelines, secrets, and deployment configurations; supply chain manipulation risk."
np.hashicorp.1,90,critical,"HashiCorp Vault Service Token (pre-v1.10) grants broad secrets engine access limited only by attached policies; full Vault access with admin policy."
np.hashicorp.2,70,high,"HashiCorp Vault Batch Token (pre-v1.10) is short-lived and non-renewable with limited capabilities; reduces blast radius."
np.hashicorp.3,95,critical,"HashiCorp Vault Recovery Token (pre-v1.10) used for root-level recovery operations; grants equivalent-to-root access."
np.hashicorp.4,90,critical,"HashiCorp Vault Service Token (v1.10+) grants broad secrets engine access limited only by attached policies; full Vault access with admin policy."
np.hashicorp.5,70,high,"HashiCorp Vault Batch Token (v1.10+) is performance-optimized and short-lived with embedded policy claims."
np.hashicorp.6,95,critical,"HashiCorp Vault Recovery Token (v1.10+) used for root-level recovery operations; grants equivalent-to-root access."
np.hashicorp.7,95,critical,"HashiCorp Vault Unseal Key is one of the Shamir secret shares required to unseal a sealed Vault; enables full secret access."
kingfisher.intra42.1,15,info,"Intra42 Client ID is a public OAuth identifier used to initiate authorization flows; not a secret."
kingfisher.intra42.2,65,high,"Intra42 Client Secret combined with Client ID enables server-side OAuth token requests; allows impersonation."
kingfisher.jumpcloud.1,85,critical,"JumpCloud API Key provides full admin access to JumpCloud directory including user management, SSO app configuration, and device policies."
np.kubernetes.1,85,critical,"Kubernetes Bootstrap Token grants cluster join capabilities; unauthorized nodes can join cluster for initial access."
np.kubernetes.2,85,critical,"Kubernetes Bootstrap Token (alternate format) — same risk as np.kubernetes.1; grants cluster bootstrap access."
kingfisher.launchdarkly.1,70,high,"LaunchDarkly Access Token enables full feature flag management; can manipulate application behavior."
kingfisher.launchdarkly.2,15,info,"LaunchDarkly Client-side ID is a public identifier embedded in frontend code for SDK initialization."
np.okta.1,90,critical,"Okta API Token grants full admin access to Okta SSO tenant including user lifecycle management, app assignments, and OAuth client configuration."
kingfisher.optimizely.1,65,high,"Optimizely Personal Access Token enables management of experiments, feature flags, and project settings."
np.vmware.1,75,high,"VMware Connect-VIServer credentials embedded in scripts grant access to vSphere/vCenter infrastructure; VM management and lateral movement."
