rule_id,base_score,tier,reasoning
kingfisher.bitly.1,45,medium,"URL shortener access token — not a payment service; grants account control and link management but no financial exposure."
kingfisher.duffel.1,82,critical,"Travel/flights booking API that is payment-capable; compromised token can book flights and incur real financial charges."
kingfisher.easypost.1,80,critical,"Shipping carrier API that creates paid labels and incurs real postage costs; direct financial impact on account holder."
kingfisher.finicity.1,75,high,"Financial data aggregation API token (similar to Plaid); grants read access to linked bank/investment account data."
kingfisher.finicity.2,75,high,"Finicity OAuth client secret; used to authenticate financial data API requests; same risk profile as the API token."
kingfisher.gocardless.1,83,critical,"Direct-debit payment API; compromised token can initiate real bank debits and move money; full payment capability."
kingfisher.gumroad.1,60,medium,"Creator platform access token; grants account management and sales data access but limited direct financial movement."
kingfisher.lob.1,55,medium,"Lob secret API key for programmatic mail/print service; can trigger paid mailings and incur real costs."
kingfisher.lob.2,30,low,"Lob publishable (client-side) API key; restricted permissions compared to secret key; lower risk suitable for front-end use."
kingfisher.paypal.1,15,info,"PayPal OAuth Client ID — public identifier used in OAuth flows; not a secret and not sufficient alone to authorize transactions."
kingfisher.paypal.2,85,critical,"PayPal OAuth Secret — live payment credential; combined with client ID grants full ability to initiate payments and access account data."
kingfisher.paystack.1,85,critical,"Paystack live API key; full payment processing capability including charging cards and initiating transfers."
kingfisher.plaid.1,15,info,"Plaid Client ID — non-secret public identifier; per guidance this is info-level and insufficient alone to access financial data."
kingfisher.plaid.2,90,critical,"Plaid Production secret; grants access to live financial institution data and transaction history."
kingfisher.plaid.3,40,medium,"Plaid Sandbox secret; no real financial data but indicates Plaid integration and pattern exposure."
kingfisher.plaid.4,88,critical,"Plaid Production access token; grants direct access to a specific end-user's live bank account data; critical financial and privacy impact."
kingfisher.plaid.5,25,low,"Plaid Sandbox access token; tied to synthetic test data only; no real user financial data accessible."
np.razorpay.1,85,critical,"Razorpay live API key; full payment processing including charges and payouts in production."
np.razorpay.2,50,medium,"Razorpay test API key; no real money movement but confirms integration and leaks key naming patterns."
kingfisher.shippo.1,60,medium,"Shippo shipping label API token; can create paid shipping labels incurring real postage costs."
np.square.1,85,critical,"Square live access token; grants full payment processing, refunds, and account management capabilities."
np.square.2,83,critical,"Square OAuth Secret; used to obtain live access tokens via OAuth; compromised secret enables impersonation and live payment access."
np.stripe.1,90,critical,"Stripe live API key; full charge, refund, and customer data access in production environment."
np.stripe.2,50,medium,"Stripe test API key; no real money but leaks integration details and test data."
