rule_id,base_score,tier,reasoning
np.appcenter.1,65,high,"Mobile CI/CD admin token; can modify build pipelines and distribute app binaries to test devices or stores."
np.artifactory.1,70,high,"Universal artifact repository API key; can publish/overwrite packages across all registered repos — supply-chain risk."
np.browserstack.1,50,medium,"Cloud browser/device testing credential; no code-publish capability but grants access to test infrastructure."
kingfisher.buildkite.1,65,high,"CI/CD platform API key; can trigger builds and modify pipeline configuration."
kingfisher.circleci.1,65,high,"CircleCI personal access token; full CI admin rights including pipeline modification and secret access."
kingfisher.circleci.2,65,high,"CircleCI project token; scoped CI admin — can trigger builds and read environment variables."
kingfisher.clojars.1,40,low,"Clojars username alone; identifier-level exposure with no direct credential — requires paired token to act."
kingfisher.clojars.2,65,high,"Clojars API token; can publish Clojure packages to the public registry — supply-chain risk."
kingfisher.codacy.1,50,medium,"Code quality analysis API key; can upload coverage and read results but no code-publish capability."
np.codeclimate.1,20,info,"CodeClimate reporter ID; a project identifier used to route coverage uploads — low sensitivity."
kingfisher.codecov.1,50,medium,"Codecov access token; used to upload coverage reports; exposure could allow falsified coverage data."
kingfisher.coderabbit.1,55,medium,"PR automation AI review API key; can interact with PRs but no direct pipeline or publish rights."
kingfisher.coveralls.1,20,info,"Coveralls repo identifier; a non-secret project identifier used to route coverage uploads."
kingfisher.coveralls.2,50,medium,"Coveralls personal API token; grants coverage reporting access across all user repos but no publish rights."
np.cratesio.1,70,high,"crates.io API token; can publish Rust crates to the public registry — direct supply-chain risk."
np.cypress.1,50,medium,"Cypress record key; allows uploading test recordings to Cypress Cloud — no code-publish capability."
kingfisher.docker.1,70,high,"Docker registry auths JSON with embedded credentials; can push malicious images to any configured registry."
np.dockerhub.1,70,high,"Docker Hub PAT; can push images to Docker Hub public/private repos — significant supply-chain risk."
kingfisher.drone.1,65,high,"DroneCI access token; can trigger pipelines and modify CI configuration."
np.gradle.1,65,high,"Hardcoded Gradle credentials; typically repo-upload credentials for Artifactory/Maven — enables malicious package publishing."
kingfisher.infracost.1,45,medium,"Infracost API token; used for cloud cost estimation — no infrastructure modification capability."
np.jenkins.1,70,high,"Jenkins token or crumb; grants CI system control including build triggering and pipeline modification."
np.jenkins.2,75,high,"Jenkins setup admin password; full administrative access including plugin install and credential access."
kingfisher.mergify.1,55,medium,"Mergify PR automation API key; can merge/close PRs and modify merge rules — elevated but not full CI admin."
np.npm.1,75,high,"NPM fine-grained access token; can publish packages to npm registry — high supply-chain risk affecting millions of users."
np.nuget.1,70,high,"NuGet API key; can publish .NET packages to nuget.org — direct supply-chain risk."
kingfisher.packagecloud.1,65,high,"PackageCloud API key; can publish packages to private/public repositories — supply-chain risk."
kingfisher.pulumi.1,70,high,"Pulumi API key; grants infrastructure automation access — can provision/destroy cloud resources."
np.pypi.1,75,high,"PyPI upload token; can publish Python packages to PyPI — high supply-chain risk affecting millions of users."
np.rubygems.1,70,high,"RubyGems API key; can publish gems to rubygems.org — direct supply-chain risk."
np.sauce.1,50,medium,"SauceLabs test infrastructure token; grants access to cloud browser/device testing — no code-publish capability."
kingfisher.scalingo.1,70,high,"Scalingo PaaS API token; full app deployment control including env vars and scaling — Heroku-like PaaS."
kingfisher.snyk.1,55,medium,"Snyk API key; vulnerability scanning — can read code analysis results but limited write/publish capability."
kingfisher.sonarcloud.1,50,medium,"SonarCloud API token; code quality analysis — can upload scan results but no code-publish capability."
np.sonarqube.1,50,medium,"SonarQube token; self-hosted code quality scanner — can modify analysis config and read results."
np.stackhawk.1,55,medium,"StackHawk DAST API key; dynamic application security testing — can trigger scans but no pipeline/publish control."
np.teamcity.1,65,high,"TeamCity API token; full CI system access including build triggering and configuration modification."
kingfisher.travisci.1,65,high,"Travis CI token; CI platform credential enabling pipeline control, secret access, and build triggering."
kingfisher.travisci.2,65,high,"Travis CI encrypted variable; contains sensitive CI secrets — exposure reveals protected environment values."
