rule_id,base_score,tier,reasoning
kingfisher.airbrake.1,45,medium,"Error monitoring user key; exposes project list and error data but limited blast radius."
kingfisher.alchemy.1,68,high,"Web3 RPC node access to Ethereum mainnet; enables NFT/transaction queries and blockchain operations on behalf of the org."
kingfisher.algolia.1,55,medium,"Algolia Admin API key grants index management (read/write/delete indices and records); meaningful data exposure."
kingfisher.algolia.2,20,low,"Algolia Application ID — identifier only (visible:false helper); not a secret by itself."
kingfisher.anypoint.1,55,medium,"MuleSoft Anypoint API key; access to integration platform account and API management."
kingfisher.baremetrics.1,40,medium,"Revenue analytics read API; exposes MRR/subscription financial metrics but no write/modify capability."
np.branchio.1,50,medium,"Branch.io live key; access to deep link data and attribution analytics for production."
np.branchio.2,30,low,"Branch.io test key; limited scope to test environment — reduced real-world impact."
kingfisher.ciscomeraki.1,65,high,"Cisco Meraki API key; grants access to manage network devices and organization settings — network infrastructure admin."
kingfisher.clearbit.1,45,medium,"Clearbit data enrichment API; exposes company/person lookup — primarily data consumption risk."
kingfisher.cloudsight.1,40,medium,"CloudSight image recognition API; enables image submissions and result queries — limited to paid resource abuse."
kingfisher.confluent.1,20,low,"Confluent client ID (visible:false helper rule); not a standalone secret — requires paired API secret."
kingfisher.confluent.2,65,high,"Confluent/Kafka API secret (paired with client ID); grants full access to Kafka cluster data streams and IAM management."
kingfisher.confluent.3,65,high,"Confluent API secret updated format with checksum; same risk as .2 — Kafka cluster access and data stream control."
kingfisher.contentful.1,40,medium,"Contentful Delivery API token; read-only CMS content access — no write capability."
kingfisher.contentful.2,55,medium,"Contentful Personal Access Token (CFPAT-prefix); full CMS management including content creation and deletion."
kingfisher.coze.1,45,medium,"Coze AI chatbot platform PAT; access to workspaces and AI agent configurations."
np.digitalocean.1,85,critical,"DigitalOcean Application Access Token (doo_v1_); full cloud infra API — droplets/networking/databases — AWS-tier analog."
np.digitalocean.2,85,critical,"DigitalOcean Personal Access Token (dop_v1_); full cloud infra control — highest privilege DigitalOcean token type."
np.digitalocean.3,82,critical,"DigitalOcean Refresh Token (dor_v1_); enables OAuth token refresh to obtain new PATs — sustained infra access."
kingfisher.disqus.1,40,medium,"Disqus comments API secret; exposes forum threads and user comment data."
np.django.1,68,high,"Django SECRET_KEY; cryptographic signing of sessions/cookies/CSRF tokens — enables session forgery and auth bypass."
kingfisher.endorlabs.1,20,low,"Endor Labs API key component (visible:false helper); not usable alone — requires paired API secret."
kingfisher.endorlabs.2,50,medium,"Endor Labs API secret (SCA/supply chain tool); access to dependency vulnerability data and org security posture."
kingfisher.eraser.1,35,low,"Eraser diagram/doc tool API key; limited to usage reporting queries — low blast radius."
kingfisher.finnhub.1,40,medium,"Finnhub financial market data API token; stock/crypto data access — paid resource consumption risk."
np.firebase.1,70,high,"Firebase Cloud Messaging server key; grants authority to send push notifications to ALL registered devices — phishing/spam vector."
np.firebase.2,30,low,"Firebase FCM device token; single-device push notification target identifier — limited to targeted messaging of one user."
np.firecrawl.1,40,medium,"Firecrawl web scraping API key; paid resource consumption and crawling operations — limited to scraping service."
kingfisher.fleetbase.1,50,medium,"Fleetbase logistics/fleet management API; live/test variants — access to fleet operations and order data."
kingfisher.flyio.1,75,high,"Fly.io API Token (FlyV1 prefix); manages deployed containers/VMs and app infrastructure — hosting infra admin."
kingfisher.freshbooks.1,55,medium,"FreshBooks accounting access token; exposes invoices/clients/financial records — sensitive business data."
np.google.1,15,info,"Google Client ID (.apps.googleusercontent.com); public identifier used in OAuth flows — not a secret."
np.google.2,65,high,"Google OAuth Client Secret (GOCSPX- prefix); combined with client ID enables OAuth token issuance."
np.google.3,55,medium,"Google OAuth client_secret fuzzy pattern; lower confidence generic pattern. LOW CONFIDENCE: fuzzy match."
np.google.4,70,high,"Google OAuth Access Token (ya29. prefix); live bearer token granting immediate access to Google APIs."
np.google.5,55,medium,"Google API key (AIza prefix); enables access to Google APIs — billing/quota abuse risk."
np.google.6,68,high,"Google OAuth Credentials (client_id + client_secret combined); full OAuth flow enablement."
np.google.7,55,medium,"Base64-encoded Google API key (QUl6YVN prefix); same risk as np.google.5 once decoded."
np.google.8,50,medium,"Google Maps API key with contextual match; quota theft and billing charges on Maps Platform."
kingfisher.google.oauth2.1,70,high,"Google OAuth2 Access Token (ya29. pattern via kingfisher rule); live token granting immediate Google API access."
np.heroku.1,85,critical,"Heroku API Key; full PaaS cloud infra control — deploy/manage/destroy apps and dynos — cloud infra tier."
kingfisher.ibm.1,85,critical,"IBM Cloud User API Key; full IBM Cloud infra access — equivalent authority to AWS IAM user key."
kingfisher.infura.1,68,high,"Infura Web3 API key; Ethereum/IPFS node access for RPC calls and blockchain data."
kingfisher.instantly.1,45,medium,"Instantly.ai email outreach API key; access to email campaign analytics and account data."
np.kagi.1,35,low,"Kagi search API key; paid search resource consumption — limited to search queries and account info."
np.keenio.1,45,medium,"Keen.io analytics API key; read/write/master key variants — event data access and possible project administration."
kingfisher.kickbox.1,40,medium,"Kickbox email verification API key; enables email verification queries — paid resource consumption."
np.lokalise.1,45,medium,"Lokalise translation management API token; read/write on localization projects and language files."
kingfisher.looker.1,15,info,"Looker Base URL (visible:false helper); hostname identifier only — not a credential."
kingfisher.looker.2,20,low,"Looker Client ID (visible:false helper); not usable as a standalone secret — requires client secret."
kingfisher.looker.3,60,high,"Looker Client Secret (paired with URL and client ID); grants BI platform login and business intelligence data access."
kingfisher.netlify.1,75,high,"Netlify API Key (hex pattern); full hosting platform access — deploy/manage sites and environment variables."
kingfisher.netlify.2,75,high,"Netlify API Key (alphanumeric pattern); same capability as .1 — site management and deployment control."
kingfisher.nvidia.nim.1,55,medium,"NVIDIA NIM API Key (nvapi- prefix); AI inference API access — paid GPU resource consumption."
kingfisher.nylas.api_uri.1,10,info,"Nylas API URI (visible:false helper); regional endpoint identifier only — not a credential."
kingfisher.nylas.1,55,medium,"Nylas email/calendar API key; access to email and calendar data depending on scopes — moderate PII exposure."
kingfisher.owlbot.1,25,low,"Owlbot dictionary API key; public dictionary lookup service — very limited impact beyond quota consumption."
kingfisher.pastebin.1,35,low,"Pastebin API key; enables paste creation/reading — limited to paste platform operations."
kingfisher.prefect.1,50,medium,"Prefect workflow orchestration API token; access to cloud workflows and workspace data."
kingfisher.pubnub.1,50,medium,"PubNub publish key; enables publishing messages to real-time channels — moderate messaging abuse risk."
kingfisher.pubnub.2,45,medium,"PubNub subscribe key; enables reading real-time channel data — potential message interception."
kingfisher.rapidapi.1,50,medium,"RapidAPI key; access to subscribed APIs on RapidAPI marketplace — scope varies by subscriptions."
kingfisher.readme.1,35,low,"ReadMe documentation API key; access to developer documentation project settings — limited impact."
kingfisher.recaptcha.1,45,medium,"reCAPTCHA API key; pattern matches both site keys and secret keys — if secret key allows CAPTCHA bypass."
kingfisher.scale.1,50,medium,"Scale AI data labeling live API key; access to AI annotation team management and task data."
kingfisher.scale.2,35,low,"Scale Callback Auth key (live_auth_ prefix); webhook signature verification only — cannot initiate API calls."
np.sourcegraph.1,68,high,"Sourcegraph Access Token (sgp_ prefix); code search access and potential lateral movement to linked GitHub/GitLab."
np.spotify.1,40,medium,"Spotify OAuth access token; user account access (playlists/history/profile) — limited to media platform data."
kingfisher.sslmate.1,50,medium,"SSLMate API key; SSL certificate ordering and management — potential for rogue cert issuance on managed domains."
kingfisher.vercel.1,85,critical,"Vercel API Token; full hosting infra control — deploy/manage projects and environment variables — production infra tier."
np.wpengine.1,65,high,"WPEngine API key; WordPress hosting management — site control/backups/configuration access across hosted sites."
kingfisher.yandex.1,40,medium,"Yandex API key (dictionary service context). LOW CONFIDENCE: pattern may apply to broader Yandex cloud services."
np.zapier.1,50,medium,"Zapier Webhook URL; triggers automation workflows — enables data exfiltration via zap execution."
