rule_id,base_score,tier,reasoning
kingfisher.airtable.1,60,high,"Airtable Personal Access Token grants full read/write access to Airtable bases which may contain sensitive business records; long-lived and broadly scoped."
kingfisher.airtable.2,55,medium,"Airtable OAuth Token is typically more narrowly scoped than a PAT and may be short-lived; still exposes Airtable base data."
kingfisher.apify.1,50,medium,"Apify API Token enables control of web scraping actors and data storage; unauthorized compute usage and scraped data access."
kingfisher.apollo.1,60,high,"Apollo API Key provides access to Apollo.io sales intelligence platform including contact/company enrichment data; prospect database exfiltration."
kingfisher.clay.1,50,medium,"Clay API Key accesses Clay data enrichment and GTM platform; exposure may leak enrichment workflows and contact data."
kingfisher.diffbot.1,45,medium,"Diffbot API Key accesses web data extraction and knowledge graph APIs; unauthorized scraping quota usage."
kingfisher.fastly.1,75,high,"Fastly API Token provides CDN administrative control including cache purging, configuration changes, and WAF rule modification."
np.figma.1,60,high,"Figma Personal Access Token grants access to design files, prototypes, and team assets; unreleased product designs and proprietary UI assets."
kingfisher.frame.io.1,65,high,"Frame.io API Token provides access to video asset management platform including project files, review workflows, and media assets."
kingfisher.frameio.1,65,high,"Frame.io API Token (alternate rule) — same risk profile as kingfisher.frame.io.1; video asset management access."
np.krb5.asrep.23.1,90,critical,"Kerberos 5 AS-REP hash (etype 23/RC4) is a password hash that can be cracked offline via AS-REP roasting; successful cracking yields AD credentials."
kingfisher.ionic.1,55,medium,"Ionic API Token provides access to Ionic mobile application platform for builds, deployments, and app configuration."
np.postman.1,70,high,"Postman API Key grants access to private API collections and workspaces which frequently contain embedded credentials and authentication tokens."
